epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,85.5813,36.7264,84.1617,89.12
2,33.273,17.8177,90.1633,90.76
3,19.9666,28.162,91.795,90.82
4,9.9806,27.0039,92.5467,90.66
5,15.2771,24.4485,93.59,93.03
6,13.8821,9.131,97.11,96.33
7,9.3509,8.8369,97.465,95.53
8,0.0,7.7339,97.3817,95.51
9,1.1034,9.1867,97.51,94.47
10,6.4115,8.6901,97.5633,95.59
11,0.0,6.8133,98.7467,96.69
12,0.0,6.5671,99.11,96.53
13,0.0,6.6684,99.1883,96.57
14,0.0,7.2909,99.205,96.4
15,0.0001,6.9044,99.2333,96.46
16,0.0,6.2509,99.5983,96.63
17,0.0,6.2096,99.77,96.58
18,0.0,6.0212,99.79,96.65
19,0.0,5.9469,99.775,96.68
20,0.0,6.1271,99.81,96.56
